Date,ID 1,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,ID 9
2022-03-31,NA,"(1348.48, 2125.12)",NA,NA,NA,NA,"(1900.57, 2672.62)",NA,NA
2022-04-05,OUT,NA,NA,NA,NA,NA,"(1902.81, 2671.95)",NA,NA
2022-04-08,"(1248.91, 1829.6)","(1370.8, 2118.52)",NA,"(1788.31, 2196.38)",NA,NA,"(1904.53, 2667.33)",NA,NA
2022-04-09,"(1227.63, 1821.89)","(1354.65, 2116.27)",NA,"(1784.26, 2192.71)",NA,"(1818.51, 2520.94)","(1899.86, 2667.25)",NA,NA
2022-04-10,"(1232.66, 1826.76)","(1360.0, 2119.2)","(1471.19, 851.66)","(1786.47, 2195.58)",NA,"(1817.89, 2524.99)","(1901.35, 2664.33)",NA,"(2613.11, 2780.16)"
2022-04-11,"(1243.91, 1829.05)","(1367.41, 2118.69)","(1482.67, 866.38)","(1792.2, 2195.85)",NA,NA,"(1903.42, 2663.14)","(2140.28, 1475.6)","(2615.95, 2780.28)"
2022-04-12,"(1231.53, 1823.62)","(1359.55, 2117.11)","(1468.95, 844.33)","(1787.95, 2194.28)",OUT,"(1828.58, 2520.63)","(1901.61, 2662.49)","(2138.11, 1468.75)",NA
2022-04-13,"(1228.75, 1822.91)","(1356.84, 2116.94)","(1468.67, 847.66)","(1788.5, 2194.94)",OUT,"(1819.24, 2521.43)","(1900.47, 2663.75)","(2137.1, 1472.93)",NA
2022-04-14,"(1228.07, 1826.76)","(1356.82, 2117.75)","(1434.2, 836.38)","(1789.45, 2195.67)",OUT,"(1827.63, 2522.59)","(1901.27, 2668.71)","(2137.95, 1472.28)","(2613.37, 2779.59)"
2022-04-15,"(1231.41, 1828.99)",NA,"(1478.74, 869.32)","(1789.94, 2196.15)","(1808.52, 1457.29)","(1816.87, 2524.52)","(1897.56, 2663.55)","(2140.25, 1479.65)",NA
2022-04-16,"(1242.35, 1832.34)","(1373.06, 2119.78)","(1488.19, 878.18)","(1792.99, 2194.62)",NA,"(1828.76, 2518.62)","(1899.6, 2659.15)",NA,"(2613.89, 2783.33)"
2022-04-18,"(1227.78, 1830.97)","(1362.06, 2118.94)","(1470.71, 856.38)","(1792.55, 2199.29)","(1810.26, 1444.05)","(1820.29, 2523.78)","(1898.59, 2661.21)","(2138.7, 1475.81)",NA
2022-04-20,"(1236.42, 1834.18)","(1369.94, 2120.5)","(1485.66, 882.66)","(1796.25, 2196.39)",NA,"(1818.26, 2516.67)","(1897.06, 2660.36)","(2139.95, 1485.97)","(2614.67, 2779.44)"
2022-04-22,"(1216.96, 1825.25)",NA,"(1458.81, 836.78)","(1792.6, 2197.05)","(1805.53, 1437.54)",NA,"(1897.79, 2658.77)","(2137.06, 1471.48)","(2617.03, 2775.53)"
2022-04-24,"(1228.17, 1832.3)","(1367.24, 2120.54)","(1469.71, 859.07)","(1797.61, 2199.76)","(1811.56, 1448.38)","(1820.26, 2522.87)","(1897.54, 2659.43)","(2138.4, 1481.13)","(2614.64, 2778.53)"
2022-04-28,"(1234.55, 1836.45)","(1373.26, 2122.38)","(1471.44, 864.54)","(1802.79, 2202.13)","(1813.33, 1451.46)","(1823.6, 2520.82)","(1899.73, 2657.64)","(2138.55, 1481.78)","(2610.3, 2779.5)"
2022-04-30,"(1227.4, 1830.81)","(1363.0, 2119.08)","(1481.87, 879.77)","(1802.7, 2199.33)","(1817.27, 1455.33)","(1817.02, 2520.87)","(1893.94, 2659.75)","(2140.87, 1489.06)","(2606.07, 2779.02)"
2022-05-02,"(1229.63, 1832.49)","(1365.85, 2119.06)","(1477.35, 875.52)","(1802.39, 2198.15)",NA,NA,"(1892.63, 2656.55)","(2136.29, 1488.14)","(2625.18, 2767.65)"
2022-05-04,"(1239.55, 1836.11)","(1373.07, 2118.72)","(1491.72, 891.98)","(1807.96, 2196.98)","(1821.48, 1457.44)","(1824.64, 2504.02)","(1897.86, 2655.19)","(2143.1, 1491.57)","(2616.98, 2778.85)"
2022-05-07,"(1223.66, 1829.28)","(1363.14, 2119.56)","(1469.61, 858.62)","(1804.37, 2200.18)","(1813.6, 1446.62)","(1822.58, 2520.79)","(1897.6, 2658.74)","(2140.66, 1482.29)","(2611.68, 2779.63)"
2022-05-10,"(1219.49, 1829.53)","(1358.85, 2119.82)","(1462.7, 853.54)","(1800.66, 2199.84)","(1807.24, 1447.06)","(1814.86, 2521.13)","(1894.75, 2658.2)","(2136.92, 1482.53)","(2610.81, 2778.59)"
2022-05-11,"(1222.38, 1830.79)","(1360.89, 2120.95)","(1467.53, 860.51)","(1803.0, 2200.09)","(1811.84, 1447.86)","(1817.59, 2521.48)","(1895.11, 2658.79)","(2138.81, 1484.58)","(2609.92, 2779.69)"
2022-05-12,"(1233.11, 1834.93)","(1370.18, 2119.95)","(1472.52, 862.97)","(1803.91, 2198.31)","(1809.98, 1449.87)","(1821.47, 2511.73)","(1896.99, 2653.9)","(2137.95, 1481.8)","(2610.41, 2775.0)"
2022-05-13,"(1226.12, 1831.46)","(1364.17, 2121.21)","(1466.87, 857.67)","(1803.16, 2200.6)","(1809.87, 1448.57)","(1820.31, 2520.28)","(1896.56, 2656.82)","(2137.75, 1483.71)","(2612.03, 2779.83)"
2022-05-14,"(1227.03, 1830.99)","(1368.02, 2117.21)","(1470.87, 863.93)","(1805.16, 2201.01)","(1811.22, 1448.04)","(1823.62, 2525.13)","(1898.41, 2659.53)","(2139.79, 1484.31)","(2613.5, 2778.4)"
2022-05-16,"(1232.45, 1837.11)","(1370.67, 2121.18)","(1482.32, 882.02)","(1807.08, 2200.06)","(1818.54, 1456.05)",NA,"(1898.11, 2656.49)","(2141.69, 1490.77)","(2612.38, 2781.68)"
2022-05-18,"(1227.15, 1831.92)","(1367.8, 2119.66)","(1468.4, 859.64)","(1803.33, 2199.75)","(1810.06, 1447.06)","(1817.75, 2517.02)","(1896.7, 2655.85)","(2137.82, 1480.94)","(2611.84, 2775.69)"
2022-05-20,"(1224.71, 1829.15)","(1361.86, 2118.85)","(1481.31, 879.02)","(1802.1, 2198.81)",NA,"(1818.82, 2519.39)","(1893.03, 2658.51)","(2142.19, 1491.41)","(2609.33, 2778.3)"
2022-05-24,"(1227.58, 1833.29)","(1362.76, 2119.17)","(1482.0, 885.24)","(1803.05, 2199.95)","(1817.61, 1455.15)","(1816.6, 2518.95)","(1892.73, 2658.83)","(2140.75, 1490.94)","(2611.16, 2781.23)"
2022-05-26,"(1235.25, 1838.21)","(1373.35, 2121.03)","(1479.29, 878.58)","(1807.85, 2200.75)",NA,"(1823.79, 2516.92)","(1896.88, 2655.02)","(2140.26, 1488.66)","(2607.73, 2777.65)"
2022-05-28,"(1222.65, 1830.71)","(1362.4, 2119.49)","(1472.19, 867.64)","(1801.84, 2200.12)","(1811.58, 1446.13)","(1816.99, 2518.18)","(1892.96, 2657.74)","(2138.98, 1487.66)","(2607.64, 2777.81)"
2022-05-30,"(1225.86, 1831.38)","(1364.79, 2119.39)","(1465.16, 853.2)","(1804.23, 2199.84)","(1810.39, 1441.97)",OUT,"(1897.09, 2656.28)","(2139.76, 1479.93)","(2611.33, 2775.88)"
2022-06-01,"(1224.55, 1830.92)","(1364.84, 2120.1)","(1464.55, 858.82)","(1803.73, 2199.61)","(1811.25, 1444.73)",NA,"(1896.83, 2655.69)","(2138.21, 1481.64)","(2609.67, 2776.93)"
2022-06-06,"(1227.67, 1831.7)","(1368.99, 2120.76)","(1469.91, 859.85)","(1806.41, 2200.6)","(1809.85, 1443.77)",NA,"(1898.28, 2655.3)","(2139.52, 1481.9)","(2612.69, 2779.64)"
2022-06-08,"(1224.77, 1830.43)","(1366.14, 2119.04)","(1469.28, 861.13)","(1804.88, 2199.64)","(1812.63, 1445.11)","(1820.87, 2515.31)","(1896.74, 2655.53)","(2138.42, 1481.37)","(2612.4, 2777.08)"
