Date,Quantity
2022-03-31,2
2022-04-05,1
2022-04-08,3
2022-04-09,3
2022-04-10,5
2022-04-11,6
2022-04-12,5
2022-04-13,5
2022-04-14,6
2022-04-15,4
2022-04-16,5
2022-04-18,5
2022-04-20,6
2022-04-22,5
2022-04-24,6
2022-04-28,6
2022-04-30,6
2022-05-02,6
2022-05-04,6
2022-05-07,6
2022-05-10,6
2022-05-11,6
2022-05-12,6
2022-05-13,6
2022-05-14,6
2022-05-16,6
2022-05-18,6
2022-05-20,6
2022-05-24,6
2022-05-26,6
2022-05-28,6
2022-05-30,6
2022-06-01,6
2022-06-06,6
2022-06-08,6
