Date,ID 1,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,ID 9
2022-03-31,NA,0.891,NA,NA,NA,NA,1.048,NA,NA
2022-04-05,OUT,NA,NA,NA,NA,NA,1.038,NA,NA
2022-04-08,1.015,0.832,NA,0.862,NA,NA,1.016,NA,NA
2022-04-09,0.964,0.797,NA,0.879,NA,0.866,0.987,NA,NA
2022-04-10,0.91,0.733,0.783,0.828,NA,0.902,0.975,NA,0.816
2022-04-11,0.888,0.754,0.841,0.848,NA,NA,0.897,0.875,0.85
2022-04-12,0.925,0.71,0.931,0.862,OUT,0.805,0.924,0.898,NA
2022-04-13,0.898,0.699,0.933,0.898,OUT,0.809,0.902,0.913,NA
2022-04-14,0.894,0.637,0.636,0.864,OUT,0.725,0.789,0.842,0.749
2022-04-15,0.942,NA,0.856,0.913,0.919,0.843,0.946,0.911,NA
2022-04-16,0.913,0.746,0.879,0.867,NA,0.787,0.953,NA,0.662
2022-04-18,0.915,0.692,0.9,0.703,0.658,0.805,0.95,0.789,NA
2022-04-20,0.888,0.761,0.948,0.764,NA,0.928,0.955,0.862,0.832
2022-04-22,0.911,NA,0.842,0.896,0.863,NA,0.932,0.83,0.731
2022-04-24,0.892,0.8,0.928,0.849,0.939,0.826,0.923,0.896,0.74
2022-04-28,0.952,0.866,0.914,0.81,0.916,0.862,0.977,0.909,0.768
2022-04-30,0.935,0.86,0.906,0.841,0.891,0.831,0.909,0.877,0.756
2022-05-02,0.911,0.805,0.935,0.825,NA,NA,0.958,0.89,0.74
2022-05-04,0.94,0.903,0.945,0.807,0.936,0.881,0.928,0.877,0.872
2022-05-07,0.901,0.817,0.926,0.843,0.911,0.915,0.961,0.847,0.796
2022-05-10,0.8,0.875,0.893,0.857,0.851,0.863,0.934,0.899,0.769
2022-05-11,0.881,0.865,0.922,0.822,0.888,0.831,0.939,0.867,0.835
2022-05-12,0.828,0.815,0.914,0.844,0.862,0.701,0.942,0.903,0.791
2022-05-13,0.91,0.863,0.917,0.853,0.851,0.908,0.935,0.868,0.73
2022-05-14,0.891,0.758,0.973,0.847,0.855,0.848,0.884,0.917,0.78
2022-05-16,0.796,0.909,0.98,0.852,0.888,NA,0.952,0.902,0.787
2022-05-18,0.878,0.817,0.909,0.875,0.927,0.792,0.944,0.799,0.815
2022-05-20,0.887,0.783,0.942,0.858,NA,0.873,0.97,0.927,0.741
2022-05-24,0.848,0.897,0.939,0.868,0.933,0.871,0.939,0.822,0.823
2022-05-26,0.914,0.862,0.939,0.789,NA,0.929,0.952,0.861,0.816
2022-05-28,0.879,0.738,0.918,0.86,0.85,0.765,0.963,0.856,0.838
2022-05-30,0.865,0.807,0.905,0.855,0.931,OUT,0.962,0.879,0.739
2022-06-01,0.892,0.856,0.927,0.871,0.926,NA,0.959,0.842,0.789
2022-06-06,0.913,0.793,0.956,0.848,0.708,NA,0.92,0.799,0.703
2022-06-08,0.885,0.796,0.946,0.88,0.652,0.689,0.961,0.835,0.788
