Date,ID 1,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,ID 9
2022-03-31,NA,0.034,NA,NA,NA,NA,0.035,NA,NA
2022-04-05,OUT,NA,NA,NA,NA,NA,0.032,NA,NA
2022-04-08,0.039,0.057,NA,0.079,NA,NA,0.039,NA,NA
2022-04-09,0.060,0.083,NA,0.067,NA,0.104,0.057,NA,NA
2022-04-10,0.082,0.088,0.053,0.076,NA,0.098,0.059,NA,0.067
2022-04-11,0.076,0.088,0.066,0.084,NA,NA,0.065,0.054,0.067
2022-04-12,0.066,0.087,0.075,0.126,OUT,0.356,0.06,0.067,NA
2022-04-13,0.093,0.089,0.081,0.116,OUT,0.175,0.074,0.055,NA
2022-04-14,0.094,0.121,0.06,0.102,OUT,0.315,0.162,0.087,0.11
2022-04-15,0.104,NA,0.077,0.097,0.075,0.136,0.091,0.076,NA
2022-04-16,0.105,0.104,0.067,0.125,NA,0.397,0.103,NA,0.373
2022-04-18,0.121,0.154,0.101,0.145,0.227,0.157,0.126,0.119,NA
2022-04-20,0.118,0.125,0.101,0.143,NA,0.197,0.145,0.118,0.153
2022-04-22,0.151,NA,0.088,0.16,0.157,NA,0.151,0.134,0.216
2022-04-24,0.167,0.124,0.133,0.149,0.121,0.174,0.16,0.134,0.157
2022-04-28,0.168,0.118,0.119,0.142,0.141,0.191,0.172,0.152,0.277
2022-04-30,0.215,0.12,0.102,0.158,0.116,0.197,0.177,0.177,0.347
2022-05-02,0.195,0.139,0.118,0.161,NA,NA,0.184,0.218,0.072
2022-05-04,0.172,0.111,0.112,0.158,0.127,0.203,0.194,0.185,0.242
2022-05-07,0.281,0.147,0.129,0.164,0.139,0.163,0.188,0.196,0.268
2022-05-10,0.277,0.134,0.136,0.167,0.200,0.242,0.196,0.186,0.353
2022-05-11,0.304,0.165,0.154,0.205,0.158,0.285,0.2,0.198,0.251
2022-05-12,0.207,0.16,0.15,0.187,0.245,0.348,0.191,0.202,0.293
2022-05-13,0.277,0.138,0.139,0.183,0.258,0.190,0.194,0.199,0.377
2022-05-14,0.291,0.208,0.107,0.184,0.261,0.127,0.203,0.203,0.137
2022-05-16,0.175,0.121,0.126,0.177,0.187,NA,0.196,0.195,0.35
2022-05-18,0.303,0.146,0.148,0.182,0.194,0.370,0.211,0.236,0.339
2022-05-20,0.276,0.141,0.132,0.198,NA,0.199,0.203,0.201,0.276
2022-05-24,0.294,0.108,0.138,0.177,0.154,0.261,0.211,0.216,0.335
2022-05-26,0.171,0.116,0.126,0.221,NA,0.213,0.209,0.22,0.274
2022-05-28,0.301,0.155,0.127,0.193,0.237,0.405,0.212,0.222,0.239
2022-05-30,0.328,0.145,0.135,0.195,0.217,OUT,0.204,0.224,0.396
2022-06-01,0.294,0.143,0.127,0.186,0.174,NA,0.214,0.231,0.304
2022-06-06,0.278,0.139,0.141,0.174,0.340,NA,0.208,0.246,0.327
2022-06-08,0.294,0.144,0.115,0.176,0.273,0.412,0.211,0.27,0.361
