Date,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7
2022-03-31,NA,NA,NA,NA,NA,NA
2022-04-08,NA,1.659,NA,NA,NA,NA
2022-04-09,1.271,NA,NA,NA,NA,2.696
2022-04-10,1.172,NA,NA,NA,NA,2.625
2022-04-11,1.141,NA,NA,1.646,NA,3.421
2022-04-12,1.36,1.735,NA,NA,NA,NA
2022-04-13,1.028,1.566,NA,1.079,1.979,2.713
2022-04-14,NA,NA,NA,NA,NA,2.924
2022-04-15,1.386,1.682,NA,1.279,OUT,NA
2022-04-16,1.431,2.217,NA,1.487,2.149,2.869
2022-04-18,1.412,NA,1.369,1.533,1.968,2.63
2022-04-20,1.432,1.753,NA,1.654,1.823,OUT
2022-04-22,1.32,2.023,1.354,NA,NA,OUT
2022-04-26,1.371,1.753,NA,1.69,1.699,NA
2022-04-28,1.275,1.711,NA,1.812,2.021,OUT
2022-04-30,1.334,1.823,2.147,1.115,1.626,1.935
2022-05-02,1.186,1.711,OUT,1.759,1.589,NA
2022-05-04,1.21,1.959,1.63,1.693,1.502,NA
2022-05-07,1.582,1.867,1.13,1.58,1.61,NA
2022-05-10,1.368,1.679,OUT,1.837,1.216,NA
2022-05-11,1.529,2.182,1.173,1.562,1.461,NA
2022-05-12,1.405,1.606,OUT,NA,1.472,1.768
2022-05-13,1.378,1.824,1.244,OUT,1.834,NA
2022-05-14,1.722,1.86,1.283,1.434,NA,NA
2022-05-16,1.621,2.006,NA,OUT,1.349,1.615
2022-05-18,OUT,1.871,1.408,OUT,1.308,1.653
2022-05-20,1.347,1.542,NA,1.319,NA,NA
2022-05-24,NA,2.141,1.373,1.345,1.482,1.76
2022-05-26,1.436,2.101,1.427,OUT,1.539,1.363
2022-05-28,NA,2.446,NA,1.093,NA,1.244
2022-05-30,NA,2.018,OUT,OUT,1.295,1.865
2022-06-01,NA,1.876,1.455,1.291,NA,1.511
2022-06-06,NA,2.046,NA,1.229,NA,NA
2022-06-08,OUT,2.152,NA,OUT,NA,1.542
