Date,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7
2022-03-31,NA,NA,NA,NA,NA,NA
2022-04-08,NA,"(911.42, 2931.08)",NA,NA,NA,NA
2022-04-09,"(812.03, 2337.27)",NA,NA,NA,NA,"(1941.72, 1810.72)"
2022-04-10,"(807.89, 2334.25)",NA,NA,NA,NA,"(1941.19, 1810.62)"
2022-04-11,"(815.33, 2340.26)",NA,NA,"(1414.09, 2165.03)",NA,"(1940.83, 1810.75)"
2022-04-12,"(807.85, 2340.19)","(919.22, 2927.83)",NA,NA,NA,NA
2022-04-13,"(812.2, 2341.23)","(925.99, 2921.97)",NA,"(1409.29, 2165.8)","(1494.71, 2498.29)","(1941.08, 1809.87)"
2022-04-14,NA,NA,NA,NA,NA,"(1938.81, 1811.75)"
2022-04-15,"(805.2, 2335.76)","(917.81, 2933.82)",NA,"(1410.1, 2164.83)",OUT,NA
2022-04-16,"(805.23, 2329.49)","(921.39, 2931.22)",NA,"(1406.97, 2163.25)","(1492.22, 2500.27)","(1941.65, 1809.21)"
2022-04-18,"(816.23, 2330.45)",NA,"(1295.4, 2183.64)","(1413.17, 2164.07)","(1495.26, 2496.05)","(1946.52, 1809.64)"
2022-04-20,"(802.09, 2338.09)","(920.28, 2934.83)",NA,"(1408.62, 2168.16)","(1489.34, 2504.31)",OUT
2022-04-22,"(820.47, 2323.63)","(950.65, 2907.09)","(1300.32, 2177.48)",NA,NA,OUT
2022-04-26,"(801.6, 2327.34)","(917.31, 2920.68)",NA,"(1405.71, 2172.08)","(1482.37, 2499.11)",NA
2022-04-28,"(791.83, 2332.04)","(898.39, 2937.8)",NA,"(1396.29, 2176.19)","(1471.7, 2508.54)",OUT
2022-04-30,"(799.44, 2327.93)","(926.77, 2923.24)","(1291.36, 2181.14)","(1406.25, 2170.03)","(1484.66, 2501.17)","(1945.77, 1812.77)"
2022-05-02,"(808.41, 2309.97)","(930.15, 2910.76)",OUT,"(1411.23, 2156.9)","(1486.84, 2493.75)",NA
2022-05-04,"(803.53, 2312.56)","(931.62, 2918.5)","(1295.93, 2170.98)","(1409.68, 2159.14)","(1485.69, 2495.26)",NA
2022-05-07,"(801.07, 2326.29)","(923.16, 2921.78)","(1294.19, 2183.67)","(1405.18, 2173.5)","(1479.1, 2498.99)",NA
2022-05-10,"(808.64, 2322.69)","(946.2, 2918.75)",OUT,"(1415.7, 2162.56)","(1493.01, 2496.84)",NA
2022-05-11,"(788.21, 2331.69)","(921.89, 2928.63)","(1293.3, 2186.25)","(1404.69, 2173.82)","(1484.52, 2501.66)",NA
2022-05-12,"(805.99, 2326.48)","(936.61, 2921.52)",OUT,NA,"(1488.13, 2501.13)","(1947.13, 1806.53)"
2022-05-13,"(808.36, 2318.35)","(941.86, 2910.96)","(1300.93, 2178.2)",OUT,"(1490.57, 2494.97)",NA
2022-05-14,"(800.35, 2324.0)","(928.62, 2910.81)","(1294.59, 2182.16)","(1404.51, 2171.78)",NA,NA
2022-05-16,"(783.17, 2334.4)","(911.29, 2933.88)",NA,OUT,"(1477.13, 2506.29)","(1947.62, 1806.48)"
2022-05-18,OUT,"(934.79, 2920.0)","(1296.75, 2181.94)",OUT,"(1482.18, 2503.42)","(1947.53, 1806.5)"
2022-05-20,"(810.29, 2319.47)","(892.18, 2925.33)",NA,"(1413.52, 2167.28)",NA,NA
2022-05-24,NA,"(926.04, 2915.59)","(1293.42, 2182.23)","(1398.67, 2167.46)","(1475.5, 2500.57)","(1941.21, 1807.42)"
2022-05-26,"(794.8, 2330.88)","(932.69, 2918.38)","(1294.13, 2180.86)",OUT,"(1481.8, 2499.03)","(1945.43, 1805.04)"
2022-05-28,NA,"(932.02, 2910.44)",NA,"(1404.37, 2161.71)",NA,"(1941.61, 1806.57)"
2022-05-30,NA,"(916.4, 2924.08)",OUT,OUT,"(1467.14, 2504.06)","(1938.05, 1811.03)"
2022-06-01,NA,"(927.43, 2913.52)","(1296.21, 2178.77)","(1406.67, 2165.47)",NA,"(1945.89, 1807.43)"
2022-06-06,NA,"(922.94, 2907.61)",NA,"(1401.01, 2164.0)",NA,NA
2022-06-08,OUT,"(928.28, 2911.62)",NA,OUT,NA,"(1947.81, 1804.71)"
