Date,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7
2022-03-31,NA,NA,NA,NA,NA,NA
2022-04-08,NA,0.897,NA,NA,NA,NA
2022-04-09,0.97,NA,NA,NA,NA,0.741
2022-04-10,0.823,NA,NA,NA,NA,0.743
2022-04-11,0.944,NA,NA,0.939,NA,0.643
2022-04-12,0.906,0.817,NA,NA,NA,NA
2022-04-13,0.942,0.946,NA,1.017,0.802,0.691
2022-04-14,NA,NA,NA,NA,NA,0.706
2022-04-15,0.918,0.832,NA,0.98,OUT,NA
2022-04-16,0.934,0.761,NA,0.887,0.826,0.663
2022-04-18,0.943,NA,0.933,0.909,0.847,0.734
2022-04-20,0.925,0.817,NA,0.909,0.822,OUT
2022-04-22,0.941,0.761,0.915,NA,NA,OUT
2022-04-26,0.913,0.88,NA,0.913,0.875,NA
2022-04-28,0.88,0.852,NA,0.914,0.823,OUT
2022-04-30,0.902,0.858,0.768,0.844,0.85,0.815
2022-05-02,0.907,0.844,OUT,0.919,0.893,NA
2022-05-04,0.843,0.773,0.844,0.906,0.915,NA
2022-05-07,0.892,0.852,0.917,0.934,0.88,NA
2022-05-10,0.908,0.892,OUT,0.886,0.846,NA
2022-05-11,0.871,0.758,0.928,0.93,0.892,NA
2022-05-12,0.901,0.911,OUT,NA,0.886,0.848
2022-05-13,0.92,0.813,0.906,OUT,0.849,NA
2022-05-14,0.852,0.817,0.887,0.881,NA,NA
2022-05-16,0.802,0.822,NA,OUT,0.935,0.803
2022-05-18,OUT,0.802,0.926,OUT,0.905,0.906
2022-05-20,0.918,0.897,NA,0.743,NA,NA
2022-05-24,NA,0.792,0.894,0.775,0.902,0.886
2022-05-26,0.867,0.779,0.878,OUT,0.878,0.97
2022-05-28,NA,0.636,NA,0.865,NA,0.985
2022-05-30,NA,0.82,OUT,OUT,0.9,0.879
2022-06-01,NA,0.85,0.864,0.791,NA,0.898
2022-06-06,NA,0.827,NA,0.817,NA,NA
2022-06-08,OUT,0.802,NA,OUT,NA,0.963
