Date,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7
2022-03-31,NA,NA,NA,NA,NA,NA
2022-04-08,NA,0.207,NA,NA,NA,NA
2022-04-09,NA,0.207,NA,NA,NA,NA
2022-04-10,0.263,NA,NA,NA,NA,0.254
2022-04-11,0.46,NA,NA,NA,NA,0.326
2022-04-12,0.477,NA,NA,0.42,NA,0.325
2022-04-13,0.254,0.249,NA,NA,NA,NA
2022-04-14,0.536,0.288,NA,0.448,0.42,0.317
2022-04-15,NA,NA,NA,NA,OUT,0.278
2022-04-16,0.255,0.343,NA,0.467,0.505,NA
2022-04-18,0.501,0.201,NA,0.469,0.388,0.324
2022-04-20,0.278,NA,0.423,0.48,0.452,OUT
2022-04-22,0.274,0.411,NA,0.504,0.517,OUT
2022-04-26,0.386,0.085,0.448,NA,NA,0.27
2022-04-28,0.24,0.234,NA,0.496,0.467,OUT
2022-04-30,0.447,0.422,NA,0.447,0.44,0.401
2022-05-02,0.211,0.347,OUT,0.521,0.543,0.315
2022-05-04,0.26,0.471,0.48,0.516,0.543,NA
2022-05-07,0.223,0.308,0.474,0.532,0.567,NA
2022-05-10,0.492,0.222,OUT,0.562,0.505,NA
2022-05-11,0.214,0.339,0.49,0.544,0.578,NA
2022-05-12,0.348,0.475,OUT,0.477,0.512,NA
2022-05-13,0.263,0.493,0.519,OUT,0.58,0.365
2022-05-14,0.355,0.111,0.52,0.557,0.499,NA
2022-05-16,0.427,0.183,0.539,OUT,NA,NA
2022-05-18,OUT,0.524,NA,OUT,0.627,0.545
2022-05-20,0.578,0.441,0.618,0.619,0.498,0.585
2022-05-24,0.49,0.291,NA,0.697,NA,NA
2022-05-26,NA,0.5,0.651,OUT,0.629,0.583
2022-05-28,0.633,0.666,0.612,0.653,0.662,0.629
2022-05-30,NA,0.737,OUT,OUT,NA,0.58
2022-06-01,NA,0.493,0.728,0.651,0.668,0.594
2022-06-06,NA,0.712,0.642,0.725,NA,0.612
2022-06-08,OUT,0.501,NA,OUT,NA,NA
