Date,ID 2,ID 3,ID 4,ID 5,ID 6,ID 7
2022-03-31,NA,NA,NA,NA,NA,NA
2022-04-08,NA,0.052,NA,NA,NA,NA
2022-04-09,0.058,NA,NA,NA,NA,0.040
2022-04-10,0.119,NA,NA,NA,NA,0.036
2022-04-11,0.140,NA,NA,0.043,NA,0.051
2022-04-12,0.090,0.053,NA,NA,NA,NA
2022-04-13,0.170,0.058,NA,0.061,0.087,0.063
2022-04-14,NA,NA,NA,NA,NA,0.073
2022-04-15,0.126,0.075,NA,0.058,OUT,NA
2022-04-16,0.120,0.075,NA,0.061,0.085,0.087
2022-04-18,0.140,NA,0.097,0.049,0.110,0.092
2022-04-20,0.161,0.101,NA,0.057,0.118,OUT
2022-04-22,0.111,0.082,0.135,NA,NA,OUT
2022-04-26,0.202,0.093,NA,0.068,0.126,NA
2022-04-28,0.249,0.1,NA,0.051,0.166,OUT
2022-04-30,0.175,0.095,0.128,0.104,0.178,0.093
2022-05-02,0.150,0.104,OUT,0.055,0.140,NA
2022-05-04,0.232,0.105,0.155,0.064,0.175,NA
2022-05-07,0.108,0.118,0.242,0.066,0.171,NA
2022-05-10,0.223,0.102,OUT,0.055,0.190,NA
2022-05-11,0.191,0.1,0.280,0.069,0.198,NA
2022-05-12,0.191,0.11,OUT,NA,0.181,0.098
2022-05-13,0.216,0.113,0.242,OUT,0.165,NA
2022-05-14,0.135,0.118,0.264,0.093,NA,NA
2022-05-16,0.118,0.101,NA,OUT,0.206,0.099
2022-05-18,OUT,0.141,0.240,OUT,0.139,0.086
2022-05-20,0.217,0.159,NA,0.251,NA,NA
2022-05-24,NA,0.122,0.202,0.243,0.169,0.066
2022-05-26,0.176,0.114,0.263,OUT,0.190,0.056
2022-05-28,NA,0.122,NA,0.102,NA,0.072
2022-05-30,NA,0.134,OUT,OUT,0.149,0.051
2022-06-01,NA,0.135,0.218,0.111,NA,0.079
2022-06-06,NA,0.129,NA,0.134,NA,NA
2022-06-08,OUT,0.105,NA,OUT,NA,0.049
