Date,ID 1,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,ID 9,ID 10,ID 11,ID 12,ID 13,ID 14,ID 15,ID 16,ID 17,ID 18,ID 19,ID 20,ID 21,ID 22,ID 23,ID 24,ID 25,ID 26
2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.623,NA,NA,NA,1.763,2.858,NA,NA,OUT,2.356,2.349,NA
2022-04-05,NA,NA,NA,NA,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.967,1.604,2.702,NA,NA,2.587,2.267,NA,NA
2022-04-08,NA,NA,NA,NA,2.357,OUT,OUT,NA,NA,2.37,NA,NA,NA,1.677,NA,1.835,1.487,1.829,2.147,OUT,NA,NA,1.656,2.124,NA
2022-04-09,NA,NA,NA,NA,1.796,1.834,OUT,NA,NA,2.443,NA,1.36,NA,1.754,OUT,1.584,1.655,1.463,2.217,OUT,NA,1.899,NA,2.209,NA
2022-04-10,NA,NA,1.647,NA,1.85,1.833,OUT,NA,NA,2.179,1.128,1.237,OUT,1.588,1.327,NA,1.634,1.731,2.522,OUT,NA,1.895,2.031,2.083,NA
2022-04-11,NA,NA,1.873,NA,1.952,1.024,2.715,NA,NA,2.542,NA,1.698,NA,1.573,1.16,1.748,1.652,1.738,2.387,OUT,NA,1.837,NA,2.131,1.991
2022-04-12,NA,NA,2.174,NA,1.22,NA,2.458,NA,NA,1.733,NA,1.367,3.243,1.309,1.397,1.635,1.808,1.995,2.475,OUT,1.953,2.173,NA,2.283,NA
2022-04-13,NA,2.321,1.733,NA,1.767,1.911,2.154,NA,NA,2.146,NA,1.547,2.491,1.415,2.035,1.705,1.745,1.782,2.36,OUT,1.756,NA,1.694,2.637,1.614
2022-04-14,1.771,2.353,2.214,NA,1.687,1.986,2.055,1.798,NA,1.959,NA,1.752,NA,1.626,1.747,1.643,1.714,1.767,2.322,OUT,1.664,1.719,1.818,2.054,NA
2022-04-15,1.692,2.035,2.284,NA,1.106,2.166,2.301,1.926,NA,1.954,NA,1.471,3.055,1.292,1.788,1.792,1.476,1.57,2.209,8.339,1.843,1.648,1.804,2.075,1.778
2022-04-16,2.029,2.591,2.155,NA,1.791,2.282,2.347,1.822,NA,2.163,NA,1.645,2.318,1.655,1.734,1.511,1.445,1.389,2.076,4.391,NA,1.611,NA,1.952,1.56
2022-04-18,OUT,1.902,2.042,NA,1.143,1.995,NA,1.508,1.498,2.068,NA,1.544,3.097,1.411,1.739,1.494,1.399,2.104,1.993,OUT,1.511,1.476,1.868,1.978,1.833
2022-04-20,1.692,1.694,1.859,NA,1.604,2.171,1.896,1.504,OUT,1.765,OUT,1.363,2.924,1.602,1.633,1.467,1.391,2.818,1.916,OUT,1.532,1.467,1.532,1.872,1.647
2022-04-22,1.727,1.7,1.722,NA,1.855,1.766,NA,1.485,1.393,2.033,NA,1.292,3.015,1.386,1.633,1.471,1.392,2.473,1.925,OUT,1.607,1.487,1.858,1.901,1.891
2022-04-24,NA,1.814,1.513,NA,2.338,2.028,NA,1.578,1.432,2.057,OUT,1.664,2.698,1.415,1.603,1.278,1.326,2.306,1.737,1.263,1.454,1.441,1.76,1.767,1.714
2022-04-26,1.843,1.633,1.536,NA,1.465,1.84,NA,1.266,1.463,1.997,1.654,1.548,2.593,1.518,1.507,1.257,1.317,2.76,1.796,6.107,1.342,1.533,1.882,1.769,1.907
2022-04-28,1.638,1.678,1.656,NA,1.358,2.014,NA,1.152,1.48,1.92,1.41,1.232,2.353,1.304,1.502,1.235,1.404,1.334,1.977,NA,1.359,1.552,2.26,NA,1.445
2022-04-30,1.806,1.647,1.62,NA,1.73,1.874,2.501,1.42,1.406,2.104,1.187,1.323,2.64,1.351,1.4,1.306,1.348,1.967,1.755,1.303,1.421,1.459,1.794,1.693,1.957
2022-05-02,1.637,1.772,1.554,NA,NA,1.813,NA,1.313,1.359,2.042,1.275,1.324,2.316,1.331,1.54,1.397,1.364,2.379,1.757,1.383,1.274,1.414,2.673,1.497,1.728
2022-05-04,1.554,1.634,1.277,1.616,NA,1.769,NA,1.365,1.467,NA,1.442,1.262,2.705,1.242,1.335,1.327,1.429,1.867,1.972,1.378,1.448,1.502,1.633,1.74,NA
