Date,ID 1,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,ID 9,ID 10,ID 11,ID 12,ID 13,ID 14,ID 15,ID 16,ID 17,ID 18,ID 19,ID 20,ID 21,ID 22,ID 23,ID 24,ID 25,ID 26
2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(1616.62, 1359.62)",NA,NA,NA,"(1822.27, 2213.91)","(1833.28, 2065.33)",NA,NA,OUT,"(2261.85, 1940.75)","(2308.97, 1894.79)",NA
2022-04-05,NA,NA,NA,NA,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(1783.94, 2279.94)","(1823.71, 2216.49)","(1833.32, 2067.85)",NA,NA,"(2050.54, 1792.15)","(2261.79, 1942.07)",NA,NA
2022-04-08,NA,NA,NA,NA,"(925.51, 2860.44)",OUT,OUT,NA,NA,"(1277.87, 885.98)",NA,NA,NA,"(1616.49, 1358.19)",NA,"(1767.36, 2734.67)","(1785.96, 2272.7)","(1821.17, 2212.72)","(1834.58, 2067.49)",OUT,NA,NA,"(2261.57, 1940.2)","(2307.6, 1894.03)",NA
2022-04-09,NA,NA,NA,NA,"(926.23, 2868.88)","(937.37, 2584.02)",OUT,NA,NA,"(1278.9, 884.8)",NA,"(1421.8, 2048.11)",NA,"(1618.04, 1356.56)",OUT,"(1773.61, 2738.1)","(1789.33, 2272.57)","(1823.39, 2210.77)","(1837.25, 2067.43)",OUT,NA,"(2058.0, 1787.89)",NA,"(2309.52, 1893.13)",NA
2022-04-10,NA,NA,"(848.55, 2044.44)",NA,"(927.09, 2861.87)","(937.44, 2580.85)",OUT,NA,NA,"(1279.53, 884.87)","(1307.44, 1385.08)","(1420.42, 2047.14)",OUT,"(1619.43, 1356.81)","(1679.15, 2096.65)",NA,"(1788.43, 2275.82)","(1823.24, 2213.56)","(1838.55, 2069.24)",OUT,NA,"(2060.69, 1790.97)","(2268.04, 1941.95)","(2313.16, 1896.63)",NA
2022-04-11,NA,NA,"(847.81, 2043.87)",NA,"(925.24, 2857.92)","(945.76, 2599.81)","(962.44, 2836.83)",NA,NA,"(1278.38, 884.51)",NA,"(1418.53, 2046.8)",NA,"(1618.6, 1358.32)","(1677.97, 2094.55)","(1770.64, 2733.85)","(1787.91, 2271.93)","(1822.28, 2210.11)","(1836.87, 2069.54)",OUT,NA,"(2060.12, 1790.54)",NA,"(2310.97, 1896.77)","(2266.94, 1941.79)"
2022-04-12,NA,NA,"(846.89, 2048.66)",NA,"(920.79, 2869.58)",NA,"(963.37, 2848.25)",NA,NA,"(1278.81, 884.93)",NA,"(1421.11, 2050.45)","(1608.3, 835.6)","(1619.42, 1358.85)","(1683.99, 2096.61)","(1775.82, 2745.62)","(1791.03, 2277.76)","(1823.48, 2217.65)","(1839.43, 2074.36)",OUT,"(2017.53, 911.84)","(2061.63, 1794.04)",NA,"(2315.1, 1899.16)",NA
2022-04-13,NA,"(814.19, 2201.1)","(845.62, 2046.2)",NA,"(924.42, 2866.66)","(933.81, 2583.81)","(961.4, 2844.77)",NA,NA,"(1279.5, 885.86)",NA,"(1420.12, 2050.38)","(1611.71, 837.46)","(1619.56, 1357.9)","(1676.96, 2098.71)","(1774.64, 2742.09)","(1789.52, 2277.13)","(1823.1, 2215.73)","(1839.07, 2072.56)",OUT,"(2018.29, 913.7)",NA,"(2269.38, 1945.02)","(2312.09, 1898.87)","(2269.58, 1945.76)"
2022-04-14,"(403.58, 2112.16)","(816.25, 2199.47)","(846.85, 2046.94)",NA,"(925.95, 2860.91)","(935.24, 2581.7)","(963.32, 2840.49)","(1277.63, 2011.2)",NA,"(1281.21, 882.67)",NA,"(1419.41, 2051.58)",NA,"(1620.15, 1357.24)","(1678.53, 2096.61)","(1776.14, 2739.74)","(1790.84, 2275.9)","(1823.59, 2213.44)","(1840.01, 2074.56)",OUT,"(2019.83, 907.62)","(2064.56, 1791.87)","(2272.86, 1946.5)","(2315.65, 1900.31)",NA
2022-04-15,"(401.86, 2117.13)","(814.72, 2203.37)","(838.26, 2050.67)",NA,"(920.75, 2871.25)","(934.71, 2588.16)","(964.65, 2848.32)","(1276.79, 2010.06)",NA,"(1281.3, 883.05)",NA,"(1422.32, 2054.5)","(1610.32, 836.4)","(1620.63, 1357.59)","(1679.3, 2097.98)","(1779.62, 2744.92)","(1792.48, 2277.14)","(1862.21, 2207.68)","(1840.54, 2075.02)","(1818.59, 2219.3)","(2015.42, 912.95)","(2063.25, 1791.75)","(2273.14, 1946.8)","(2313.91, 1900.01)","(2273.24, 1947.02)"
2022-04-16,"(403.81, 2112.83)","(816.15, 2197.72)","(837.33, 2049.5)",NA,"(923.58, 2864.2)","(932.83, 2580.96)","(961.13, 2840.06)","(1275.9, 2009.88)",NA,"(1281.88, 882.38)",NA,"(1421.27, 2055.9)","(1615.4, 833.76)","(1623.11, 1357.24)","(1679.23, 2099.21)","(1778.05, 2743.17)","(1793.39, 2280.06)","(1863.78, 2210.81)","(1841.82, 2080.24)","(1819.75, 2219.88)",NA,"(2068.3, 1795.09)",NA,"(2320.9, 1903.62)","(2282.32, 1951.96)"
2022-04-18,OUT,"(819.45, 2201.6)","(842.39, 2051.72)",NA,"(922.67, 2870.93)","(935.74, 2588.46)",NA,"(1266.78, 1963.08)","(1280.19, 2010.61)","(1283.9, 884.34)",NA,"(1424.83, 2056.58)","(1611.36, 836.06)","(1624.38, 1359.03)","(1680.95, 2097.18)","(1783.18, 2741.29)","(1796.09, 2276.83)","(1824.08, 2214.73)","(1842.0, 2078.24)",OUT,"(2016.34, 911.83)","(2065.14, 1791.8)","(2276.17, 1948.54)","(2314.02, 1902.43)","(2276.36, 1948.76)"
