Date,ID 1,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,ID 9,ID 10,ID 11,ID 12,ID 13,ID 14,ID 15,ID 16,ID 17,ID 18,ID 19,ID 20,ID 21,ID 22,ID 23,ID 24,ID 25,ID 26
2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746,NA,NA,NA,0.944,0.747,NA,NA,OUT,0.829,0.58,NA
2022-04-05,NA,NA,NA,NA,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.759,0.892,0.767,NA,NA,0.706,0.838,NA,NA
2022-04-08,NA,NA,NA,NA,0.759,OUT,OUT,NA,NA,0.729,NA,NA,NA,0.798,NA,0.892,0.94,0.829,0.792,OUT,NA,NA,0.901,0.77,NA
2022-04-09,NA,NA,NA,NA,0.863,0.939,OUT,NA,NA,0.711,NA,0.965,NA,0.859,OUT,0.889,0.839,0.919,0.782,OUT,NA,0.799,NA,0.793,NA
2022-04-10,NA,NA,0.883,NA,0.789,0.941,OUT,NA,NA,0.731,0.944,0.985,OUT,0.9,0.96,NA,0.811,0.862,0.715,OUT,NA,0.839,0.656,0.73,NA
2022-04-11,NA,NA,0.837,NA,0.821,0.937,0.65,NA,NA,0.727,NA,0.865,NA,0.851,0.948,0.86,0.8,0.878,0.726,OUT,NA,0.858,NA,0.745,0.714
2022-04-12,NA,NA,0.775,NA,0.93,NA,0.706,NA,NA,0.856,NA,0.958,0.642,0.947,0.909,0.879,0.841,0.785,0.71,OUT,0.817,0.744,NA,0.74,NA
2022-04-13,NA,0.774,0.847,NA,0.814,0.83,0.7,NA,NA,0.776,NA,0.916,0.731,0.896,0.84,0.892,0.838,0.879,0.752,OUT,0.868,NA,0.703,0.668,0.674
2022-04-14,0.834,0.769,0.758,NA,0.845,0.845,0.76,0.82,NA,0.764,NA,0.86,NA,0.836,0.88,0.877,0.843,0.846,0.737,OUT,0.903,0.855,0.646,0.775,NA
2022-04-15,0.866,0.835,0.63,NA,0.924,0.786,0.713,0.805,NA,0.771,NA,0.933,0.63,0.811,0.885,0.844,0.921,0.902,0.754,0.543,0.864,0.831,0.645,0.767,0.633
2022-04-16,0.782,0.749,0.653,NA,0.851,0.773,0.655,0.823,NA,0.72,NA,0.889,0.693,0.833,0.906,0.925,0.893,0.926,0.783,0.6,NA,0.865,NA,0.775,0.832
2022-04-18,OUT,0.836,0.709,NA,0.907,0.813,NA,0.9,0.915,0.788,NA,0.902,0.653,0.882,0.913,0.911,0.927,0.806,0.793,OUT,0.886,0.891,0.697,0.799,0.652
2022-04-20,0.88,0.884,0.711,NA,0.806,0.78,0.761,0.919,OUT,0.852,OUT,0.926,0.667,0.879,0.927,0.912,0.914,0.638,0.816,OUT,0.912,0.904,0.837,0.787,0.753
2022-04-22,0.833,0.853,0.752,NA,0.735,0.879,NA,0.922,0.95,0.768,NA,0.921,0.652,0.919,0.9,0.908,0.887,0.718,0.777,OUT,0.904,0.873,0.718,0.782,0.574
2022-04-24,NA,0.86,0.809,NA,0.66,0.805,NA,0.882,0.836,0.764,OUT,0.878,0.687,0.92,0.921,0.936,0.937,0.783,0.804,0.938,0.902,0.874,0.729,0.815,0.696
2022-04-26,0.768,0.875,0.794,NA,0.9,0.851,NA,0.944,0.834,0.797,0.896,0.85,0.738,0.906,0.913,0.934,0.923,0.665,0.838,0.432,0.936,0.88,0.578,0.766,0.798
