Date,ID 1,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,ID 9,ID 10,ID 11,ID 12,ID 13,ID 14,ID 15,ID 16,ID 17,ID 18,ID 19,ID 20,ID 21,ID 22,ID 23,ID 24,ID 25,ID 26
2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117,NA,NA,NA,0.254,NA,NA,NA,OUT,NA,NA,0.158
2022-04-05,NA,NA,NA,NA,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394,0.295,NA,NA,NA,0.262,0.261,NA,NA
2022-04-08,NA,NA,NA,NA,0.064,OUT,OUT,NA,NA,0.354,NA,NA,NA,0.315,NA,0.18,0.312,0.271,0.242,OUT,NA,0.113,0.159,NA,0.12
2022-04-09,NA,NA,NA,NA,0.191,0.301,OUT,NA,NA,0.044,NA,0.393,NA,0.22,OUT,0.086,0.325,0.262,0.325,OUT,NA,0.219,0.297,NA,0.276
2022-04-10,NA,NA,0.232,NA,0.299,0.345,OUT,NA,NA,0.114,0.291,NA,OUT,0.285,0.649,0.134,0.372,0.296,0.289,OUT,NA,0.221,0.222,NA,NA
2022-04-11,NA,NA,0.275,NA,0.165,0.436,0.291,NA,NA,0.061,NA,0.393,NA,0.222,0.693,0.103,0.342,0.297,0.347,OUT,NA,0.247,NA,NA,0.295
2022-04-12,NA,NA,0.219,NA,0.277,NA,0.319,NA,NA,0.005,NA,0.357,0.195,0.172,0.683,0.096,0.291,0.281,0.327,OUT,0.238,0.258,0.319,0.261,NA
2022-04-13,NA,0.196,0.203,NA,0.319,0.36,0.372,NA,NA,0.366,NA,0.376,0.508,NA,0.585,0.196,0.393,0.31,0.307,OUT,0.342,0.198,0.163,NA,NA
2022-04-14,0.316,0.203,0.246,NA,0.153,0.29,0.153,0.313,NA,0.137,NA,0.347,NA,0.131,0.58,0.155,0.361,0.254,0.312,OUT,0.016,0.099,0.19,0.112,NA
2022-04-15,0.283,0.259,0.213,NA,0.371,0.452,0.476,0.332,NA,0.157,NA,0.403,0.463,0.318,0.525,0.156,0.332,0.273,0.329,0.291,0.351,0.241,0.203,0.176,NA
2022-04-16,0.198,0.197,0.216,NA,0.122,0.323,0.356,0.359,NA,0.295,NA,0.399,0.31,0.256,0.608,0.311,0.404,0.31,0.376,0.346,0.037,NA,0.181,0.155,NA
2022-04-18,OUT,0.321,0.336,NA,0.295,0.413,NA,0.368,0.384,0.065,NA,0.427,0.057,0.238,0.621,0.201,0.383,0.309,0.408,OUT,0.034,0.231,0.278,0.259,NA
2022-04-20,0.328,0.291,0.271,NA,0.383,0.481,0.53,0.346,OUT,0.187,OUT,0.434,0.426,0.389,0.564,0.224,0.352,0.287,0.369,OUT,0.33,0.283,0.212,0.225,NA
2022-04-22,0.361,0.348,0.309,NA,0.366,0.526,NA,0.376,0.407,0.141,NA,0.445,0.379,0.378,0.564,0.22,0.353,0.305,0.361,OUT,0.343,0.278,0.215,0.212,NA
2022-04-24,NA,0.254,0.224,NA,0.59,0.396,NA,0.372,0.379,0.37,OUT,0.408,0.453,0.436,0.585,0.294,0.379,0.303,0.349,0.314,0.295,0.205,NA,0.161,NA
2022-04-26,0.367,0.378,0.329,NA,0.561,0.532,NA,0.339,0.388,0.107,0.204,0.411,0.264,0.327,0.569,0.32,0.351,0.313,0.349,0.305,0.204,0.257,0.164,0.194,NA
