Date,ID 1,ID 3,ID 4,ID 5,ID 6,ID 7,ID 8,ID 9,ID 10,ID 11,ID 12,ID 13,ID 14,ID 15,ID 16,ID 17,ID 18,ID 19,ID 20,ID 21,ID 22,ID 23,ID 24,ID 25,ID 26
2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA,NA,0.032,0.03,NA,NA,OUT,0.034,0.063,NA
2022-04-05,NA,NA,NA,NA,OUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071,0.108,0.029,NA,NA,0.043,0.033,NA,NA
2022-04-08,NA,NA,NA,NA,0.064,OUT,OUT,NA,NA,0.064,NA,NA,NA,0.099,NA,0.059,0.068,0.072,0.086,OUT,NA,NA,0.079,0.084,NA
2022-04-09,NA,NA,NA,NA,0.073,0.036,OUT,NA,NA,0.094,NA,0.052,NA,0.131,OUT,0.065,0.104,0.065,0.097,OUT,NA,0.084,NA,0.076,NA
2022-04-10,NA,NA,0.074,NA,0.094,0.035,OUT,NA,NA,0.086,0.108,0.074,OUT,0.122,0.064,NA,0.121,0.09,0.104,OUT,NA,0.089,0.074,0.098,NA
2022-04-11,NA,NA,0.079,NA,0.092,0.049,0.110,NA,NA,0.091,NA,0.075,NA,0.165,0.078,0.104,0.11,0.091,0.102,OUT,NA,0.089,NA,0.098,0.091
2022-04-12,NA,NA,0.087,NA,0.172,NA,0.123,NA,NA,0.139,NA,0.090,0.079,0.166,0.140,0.098,0.106,0.09,0.123,OUT,0.06,0.096,NA,0.113,NA
2022-04-13,NA,0.072,0.139,NA,0.103,0.064,0.214,NA,NA,0.113,NA,0.091,0.099,0.139,0.065,0.085,0.142,0.09,0.123,OUT,0.088,NA,0.096,0.124,0.09
2022-04-14,0.132,0.076,0.099,NA,0.133,0.105,0.235,0.050,NA,0.149,NA,0.115,NA,0.13,0.071,0.11,0.126,0.074,0.143,OUT,0.109,0.107,0.098,0.137,NA
2022-04-15,0.140,0.076,0.201,NA,0.191,0.107,0.132,0.074,NA,0.177,NA,0.084,0.094,0.19,0.086,0.1,0.115,0.113,0.164,0.009,0.083,0.120,0.106,0.139,0.104
2022-04-16,0.137,0.08,0.215,NA,0.095,0.114,0.187,0.088,NA,0.17,NA,0.128,0.134,0.144,0.083,0.113,0.143,0.121,0.199,0.021,NA,0.136,NA,0.174,0.127
2022-04-18,OUT,0.095,0.249,NA,0.228,0.133,NA,0.057,0.094,0.171,NA,0.110,0.092,0.185,0.080,0.147,0.165,0.089,0.192,OUT,0.125,0.137,0.131,0.152,0.128
2022-04-20,0.167,0.138,0.260,NA,0.158,0.119,0.256,0.068,OUT,0.219,OUT,0.123,0.120,0.244,0.097,0.141,0.183,0.115,0.2,OUT,0.112,0.171,0.138,0.177,0.126
2022-04-22,0.225,0.149,0.296,NA,0.111,0.143,NA,0.065,0.107,0.207,NA,0.120,0.137,0.226,0.112,0.158,0.181,0.143,0.209,OUT,0.127,0.177,0.160,0.182,0.136
2022-04-24,NA,0.155,0.350,NA,0.235,0.154,NA,0.087,0.110,0.233,OUT,0.146,0.146,0.217,0.115,0.187,0.199,0.139,0.228,0.161,0.147,0.165,0.154,0.196,0.125
2022-04-26,0.365,0.193,0.399,NA,0.201,0.175,NA,0.086,0.119,0.231,0.127,0.167,0.132,0.243,0.127,0.202,0.189,0.12,0.225,0.030,0.153,0.191,0.137,0.192,0.119
2022-04-28,0.367,0.216,0.425,NA,0.229,0.182,NA,0.143,0.142,0.227,0.130,0.186,0.196,0.247,0.142,0.217,0.21,0.193,0.24,NA,0.161,0.188,0.072,NA,0.187
2022-04-30,0.352,0.206,0.419,NA,0.147,0.200,0.243,0.071,0.143,0.22,0.256,0.184,0.149,0.22,0.128,0.215,0.192,0.188,0.237,0.193,0.174,0.192,0.162,0.197,0.115
2022-05-02,0.338,0.204,0.207,NA,NA,0.194,NA,0.088,0.153,0.241,0.135,0.219,0.192,0.248,0.139,0.217,0.2,0.138,0.258,0.160,0.183,0.201,0.061,0.191,0.21
2022-05-04,0.338,0.245,0.212,0.192,NA,0.200,NA,0.211,0.162,NA,0.179,0.218,0.153,0.275,0.131,0.243,0.19,0.178,0.256,0.183,0.176,0.204,0.146,0.108,NA
2022-05-07,0.333,0.22,0.428,NA,NA,0.209,NA,0.130,0.151,0.234,0.133,0.217,0.152,0.226,0.143,NA,0.179,0.186,0.264,0.173,0.196,0.189,0.178,0.165,0.206
2022-05-10,0.372,0.23,0.205,0.198,0.234,0.201,NA,0.086,0.167,0.24,0.131,0.237,0.184,0.27,0.140,0.236,0.19,0.159,0.274,0.202,0.191,0.189,0.176,0.216,0.139
2022-05-11,0.385,0.247,0.232,0.268,NA,0.225,NA,0.095,0.175,0.271,0.259,0.238,0.095,0.267,0.249,0.255,0.199,0.231,0.256,0.176,0.194,NA,0.177,0.227,0.11
2022-05-12,0.380,0.24,0.189,0.215,0.252,0.212,NA,0.081,0.174,0.253,0.129,0.240,0.167,0.264,0.241,0.225,0.216,0.185,0.259,OUT,0.2,0.190,OUT,0.189,0.213
2022-05-13,0.352,0.232,0.213,0.184,NA,0.247,NA,0.153,NA,0.257,0.207,OUT,0.150,0.234,0.181,NA,0.201,0.14,0.26,0.170,0.233,0.185,0.161,0.115,NA
2022-05-14,0.383,0.264,0.207,0.19,NA,0.223,NA,0.203,0.171,NA,0.125,0.216,0.172,0.286,0.253,0.247,0.2,0.202,0.277,0.162,0.218,0.193,0.187,0.244,0.127
2022-05-16,0.381,0.243,0.211,0.201,0.189,0.224,0.229,0.214,0.163,0.272,0.141,0.236,0.198,0.257,OUT,0.239,0.207,0.194,0.269,0.166,0.218,0.202,0.188,0.237,0.12
2022-05-18,0.392,0.222,0.219,0.204,0.237,0.222,NA,0.168,NA,0.261,0.161,0.239,0.199,0.245,0.277,0.251,0.201,0.144,0.264,0.189,0.226,0.192,0.085,0.223,0.26
2022-05-20,0.373,0.247,0.209,0.195,0.202,0.229,NA,0.061,0.168,0.272,0.235,0.219,0.215,0.271,0.295,0.248,0.271,0.217,0.279,0.176,NA,0.241,0.180,0.257,0.107
2022-05-24,0.381,0.245,0.250,0.175,0.273,0.269,NA,0.162,NA,0.285,0.185,0.236,0.189,0.27,OUT,0.257,0.253,0.185,0.281,0.176,0.255,0.196,0.195,0.252,0.127
2022-05-26,0.388,0.26,0.201,0.22,0.143,0.235,0.235,0.062,0.154,0.271,NA,0.223,0.193,0.304,0.306,0.255,0.209,0.17,0.314,0.187,0.227,0.196,0.084,0.206,0.24
2022-05-28,0.386,0.236,0.428,NA,NA,0.226,NA,0.200,0.179,0.298,0.194,0.222,0.207,0.25,0.258,0.24,0.178,0.189,0.303,OUT,0.234,0.197,0.163,0.242,0.118
2022-05-30,0.358,0.265,0.204,0.19,0.124,0.230,0.285,0.164,NA,0.286,0.200,0.211,0.207,0.309,0.281,0.267,0.213,0.168,0.313,0.169,0.213,0.279,0.228,0.252,0.147
2022-06-01,0.322,0.242,0.492,NA,0.158,0.218,0.298,0.153,NA,0.315,NA,0.212,0.172,0.26,NA,0.258,0.255,0.188,0.292,0.198,0.234,0.240,0.220,0.236,0.15
2022-06-06,0.389,0.299,0.202,0.193,NA,0.229,NA,0.193,NA,0.325,NA,0.218,0.161,0.263,NA,0.254,0.168,0.215,0.353,0.164,0.222,0.191,0.235,0.177,0.145
2022-06-08,OUT,0.257,OUT,NA,0.136,0.229,0.330,OUT,NA,0.33,NA,0.230,0.131,0.258,NA,0.249,0.14,0.153,0.339,OUT,0.199,0.271,0.228,0.228,0.168
