bench,tray,expect_layer,sorted_Elayer,actural_layer,plots,innoculator,jars,harvest_time,lines,reps,number
1,5,10,2,2,645,1,1,3,1,2,1
1,19,37,1,1,2470,2,4,6,1,4,10
1,33,65,1,1,4404,4,7,10,1,8,12
1,37,73,1,1,4923,4,8,8,1,10,11
1,39,77,1,1,5203,4,8,11,1,11,14
2,72,144,2,2,9768,3,23,8,1,17,5
2,76,151,1,1,10246,3,24,3,1,19,1
2,83,165,1,1,11226,3,20,2,1,21,7
1,5,10,2,1,627,1,1,3,2,1,8
1,7,13,1,2,840,1,2,1,2,3,11
1,8,15,1,2,960,2,2,1,2,4,1
1,25,49,1,1,3335,4,3,9,2,6,18
1,30,60,2,1,4061,5,7,5,2,7,15
1,33,65,1,2,4407,4,7,10,2,8,10
1,39,78,2,2,5265,4,8,11,2,11,20
2,46,91,1,2,6141,2,5,9,2,14,19
2,67,133,1,2,8988,3,21,6,2,17,25
2,75,149,1,2,10068,3,24,3,2,18,19
2,80,159,1,1,10795,2,27,3,2,20,6
2,83,165,1,2,11156,3,20,2,2,21,2
1,15,29,1,2,1954,1,3,3,3,3,6
1,28,55,1,1,3739,1,6,2,3,5,15
2,47,94,2,2,6364,2,10,9,3,12,12
2,55,110,2,2,7439,6,15,5,3,15,15
2,73,145,1,1,9857,3,23,8,3,20,10
2,77,153,1,1,10356,2,24,3,3,21,7
1,1,2,2,2,25,1,1,1,4,1,3
1,5,10,2,1,655,1,1,3,4,2,8
1,24,48,2,2,3230,3,5,8,4,6,14
1,25,49,1,1,3334,4,3,9,4,7,26
1,33,65,1,1,4384,4,7,10,4,10,16
2,62,124,2,1,8403,5,19,2,4,15,4
2,84,167,1,2,11330,3,20,2,4,21,16
2,75,149,1,2,10138,3,24,3,6,20,11
1,19,37,1,1,2459,2,4,6,7,8,4
1,4,8,2,1,524,1,20,2,9,2,1
1,25,49,1,1,3305,4,3,9,11,8,1
1,31,61,1,1,4085,4,3,9,11,10,2
2,61,121,1,2,8167,3,18,6,11,18,13
2,70,140,2,2,9508,3,22,3,11,20,8
1,28,55,1,2,3726,1,6,2,14,8,11
1,34,67,1,1,4553,4,7,10,14,10,12
2,43,85,1,1,5768,4,10,2,14,12,9
2,79,157,1,1,10638,2,26,2,14,20,5
1,14,27,1,2,1771,1,3,3,15,5,11
1,30,60,2,1,4066,5,7,5,15,10,4
2,45,89,1,1,6055,2,5,9,15,12,3
2,48,96,2,1,6519,6,10,9,15,14,5
2,49,97,1,2,6540,6,12,6,15,15,9
2,67,133,1,1,8993,3,21,6,15,19,19
1,2,3,1,1,198,1,1,1,16,1,15
1,4,7,1,1,482,1,20,2,16,2,10
1,10,20,2,2,1319,1,2,3,16,3,2
1,13,26,2,2,1736,2,3,5,16,4,3
1,34,67,1,1,4539,4,7,10,16,7,6
2,45,90,2,1,6087,2,5,9,16,12,10
2,52,103,1,1,7008,6,13,6,16,16,10
2,53,105,1,1,7134,6,14,6,16,17,9
1,3,6,2,1,378,1,1,1,17,2,7
1,16,32,2,1,2124,2,3,3,18,6,14
1,19,37,1,2,2481,2,4,6,18,7,5
1,22,43,1,1,2912,1,5,8,18,9,7
2,61,121,1,1,8190,3,18,6,18,13,22
2,63,125,1,2,8471,2,19,2,18,14,9
2,73,145,1,1,9811,3,23,8,18,16,4
2,82,164,2,2,11117,3,27,3,18,21,1
1,1,2,2,2,81,1,1,1,19,1,9
1,5,10,2,2,608,1,1,3,19,3,7
1,34,67,1,2,4526,4,7,10,19,8,17
1,6,11,1,1,750,1,1,3,20,2,3
1,10,19,1,2,1265,1,2,3,20,4,7
1,30,59,1,1,3947,5,7,5,20,7,5
1,31,61,1,1,4131,4,3,9,20,8,4
1,38,75,1,1,5065,4,8,8,20,9,10
1,41,82,2,1,5559,4,3,9,20,10,2
2,43,86,2,2,5790,4,10,2,20,11,8
2,55,110,2,1,7470,6,15,5,20,14,5
2,69,138,2,1,9377,3,14,13,20,17,2
1,8,16,2,2,1040,2,2,1,21,3,2
1,34,67,1,1,4559,4,7,10,21,11,12
2,68,136,2,1,9241,3,22,5,21,18,6
1,16,31,1,1,2114,2,3,3,22,5,16
1,25,50,2,2,3371,4,3,9,22,7,4
1,30,59,1,1,4001,5,7,5,22,8,5
1,35,69,1,1,4695,4,7,10,22,9,16
1,41,82,2,2,5572,4,3,9,22,11,14
2,61,122,2,1,8237,3,18,6,22,15,3
1,18,36,2,2,2409,2,4,6,23,3,19
1,33,65,1,1,4370,4,7,10,23,7,10
1,35,69,1,2,4655,4,7,10,23,8,13
1,40,80,2,1,5394,4,9,5,23,9,16
2,47,93,1,2,6294,2,10,9,23,11,14
2,53,105,1,2,7107,6,14,6,23,12,13
2,74,148,2,1,10029,3,24,5,23,20,1
1,5,9,1,1,610,1,1,3,24,2,13
1,7,13,1,1,856,1,2,1,24,3,7
1,11,22,2,1,1450,2,9,4,24,5,2
1,18,36,2,2,2436,2,4,6,24,6,3
1,33,65,1,1,4396,4,7,10,24,9,15
2,47,94,2,1,6370,2,10,9,24,11,22
2,60,119,1,2,8095,5,18,6,24,16,9
2,65,129,1,1,8718,3,19,2,24,17,8
1,11,22,2,2,1403,2,9,4,25,2,4
1,15,29,1,2,1917,1,3,3,25,3,4
1,18,35,1,1,2364,2,4,6,25,4,12
1,24,48,2,1,3228,3,5,8,25,6,8
1,38,75,1,1,5061,4,8,8,25,10,3
2,43,85,1,2,5786,4,10,2,25,12,17
2,48,95,1,1,6410,6,10,9,25,13,7
2,58,115,1,1,7789,5,17,6,25,14,14
2,69,138,2,1,9325,3,14,13,25,15,2
1,36,71,1,2,20003,4,8,8,25,30,7
1,2,3,1,2,178,1,1,1,27,2,14
1,5,9,1,1,593,1,1,3,27,3,8
1,9,17,1,1,1089,1,2,3,27,5,5
2,52,103,1,1,6973,6,13,6,27,15,7
2,55,109,1,1,7394,6,15,5,27,16,4
2,79,157,1,2,10680,2,26,2,27,21,19
1,39,77,1,1,5216,4,8,11,28,9,8
2,44,88,2,1,5926,4,10,2,28,11,11
2,72,143,1,2,9726,3,23,8,28,20,11
1,6,12,2,1,801,1,1,3,29,3,2
1,17,33,1,2,2202,1,9,4,29,5,21
1,40,80,2,1,5395,4,9,5,29,11,24
2,55,109,1,2,7378,6,15,5,29,13,4
2,56,112,2,1,7519,6,16,6,29,14,13
2,65,129,1,2,8731,3,19,2,29,16,10
2,67,133,1,1,8989,3,21,6,29,17,22
1,12,23,1,2,1517,1,3,5,30,3,2
1,14,28,2,1,1867,1,3,3,30,4,3
1,20,40,2,1,2694,1,9,7,30,5,3
1,29,57,1,1,3848,1,3,9,30,6,4
1,33,65,1,1,4356,4,7,10,30,7,1
1,34,67,1,1,4498,4,7,10,30,8,3
2,49,98,2,1,6650,6,12,6,30,12,17
2,81,161,1,1,10923,3,27,3,30,20,2
1,18,35,1,2,2338,2,4,6,31,7,5
2,49,97,1,1,6578,6,12,6,31,11,17
2,63,125,1,1,8447,2,19,2,31,17,4
2,64,127,1,1,8616,3,19,2,31,18,3
1,12,24,2,1,1543,1,3,5,32,3,3
1,13,25,1,2,1637,2,3,5,32,4,13
1,19,37,1,2,2461,2,4,6,32,5,18
1,31,61,1,1,4123,4,3,9,32,7,10
2,54,107,1,1,7218,6,14,6,32,14,11
2,59,117,1,1,7902,5,5,9,32,15,8
2,66,132,2,2,8943,3,21,6,32,16,17
1,5,10,2,1,679,1,1,3,33,2,5
1,17,34,2,1,2312,1,9,4,33,3,3
1,39,77,1,1,5180,4,8,11,33,11,4
